question,correctAnswer,time,answerA,answerB,answerC
In which year was the first submarine built, by Dutch engineer Cornelis Jacobszoon Drebbel?,1620,30,1620,1750,1850
What was the world’s first postage stamp, issued in the United Kingdom in 1840 called?,Penny Black,30,Penny Farthing,Penny Black,Penny Red
What did Charles Babbage famously invent?,The computer,30,The computer,The microwave,The television
“The only way to do great work is to love what you do.”. Do you know who said these famous quotes?,Steve Jobs,30,Steve Jobs,Bill Gates,Mark Zuckerberg
“The greatest glory in living lies not in never falling, but in rising every time we fall.”. Do you know who said these famous quotes?,Nelson Mandela,30,Nelson Mandela,Mahatma Gandhi,Martin Luther King Jr.
“The only thing necessary for the triumph of evil is for good men to do nothing.”. Do you know who said these famous quotes?,Winston Churchill,30,Winston Churchill,Franklin D. Roosevelt,John F. Kennedy
“Be yourself; everyone else is already taken.”. Do you know who said these famous quotes?,Oscar Wilde,30,Mark Twain,William Shakespeare,Oscar Wilde
“The way to get started is to quit talking and begin doing.”. Do you know who said these famous quotes?,Walt Disney,30,Walt Disney,Rupert Murdoch,Barack Obama
“You will face many defeats in life, but never let yourself be defeated.”. Do you know who said these famous quotes?,Maya Angelou,30,Zadie Smith,Eleanor Roosevelt,Maya Angelou
“The purpose of our lives is to be happy.”. Do you know who said these famous quotes?,The Dalai Lama,30,The Dalai Lama,The Pope,Nelson Mandela
“Life itself is the most wonderful fairy tale.”. Do you know who said these famous quotes?,Hans Christian Anderson,30,Rudyard Kipling,Hans Christian Anderson,JM Barrie
“I never dreamed about success, I worked for it.”. Do you know who said these famous quotes?,Estee Lauder,30,Estee Lauder,Coco Chanel,Stella McCartney
How many Oscars did Titanic win?,11,30,11,14,18
In what year was the first movie theater built?,1896,30,1896,1901,1905
Who is the only actor to receive an Oscar nomination for playing a part in a Lord of the Rings movie?,Sir Ian McKellen,30,Elijah Wood,Orlando Bloom,Sir Ian McKellen
In what year was the movie Jurassic Park released?,1993,30,1989,1993,1998
Which female actor has won the most Academy Awards, with a total of four?,Katharine Hepburn,30,Katharine Hepburn,Meryl Streep,Cate Blanchett
What is the name of the alien in the movie E.T.?,Zrek,30,Zrek,Shrek,Drek
Who played the title role in the movie Forrest Gump?,Tom Hanks,30,Tom Hanks,Tom Hiddleston,Tom Hardy
What is the name of the main character in the movie The Matrix?,Neo,30,Niall,Neil,Neo
In what year was the movie The Wizard of Oz released?,1939,30,1939,1942,1950
